env,algo,final_mean,final_std,n_seeds
HalfCheetah-v4,reinforce,397.20758056640625,323.5277099609375,5
HalfCheetah-v4,trpo,1138.237060546875,72.62956237792969,5
HalfCheetah-v4,ppo,2912.078857421875,1191.52978515625,5
HalfCheetah-v4,td3,9793.818359375,913.0995483398438,5
Hopper-v4,reinforce,339.3160095214844,53.106117248535156,5
Hopper-v4,trpo,2665.930908203125,793.2630004882812,5
Hopper-v4,ppo,3099.724853515625,356.0576477050781,5
Hopper-v4,td3,2808.145263671875,873.7361450195312,5
Pendulum-v1,reinforce,-1070.5540771484375,10.631623268127441,5
Pendulum-v1,trpo,-124.17574310302734,8.374382972717285,5
Pendulum-v1,ppo,-130.1378631591797,10.58521556854248,5
Pendulum-v1,td3,-147.7120819091797,4.875044345855713,5
Walker2d-v4,reinforce,260.9975891113281,26.94854736328125,5
Walker2d-v4,trpo,1343.0576171875,694.1414184570312,5
Walker2d-v4,ppo,2827.321533203125,437.7081604003906,5
Walker2d-v4,td3,3443.512451171875,1267.370849609375,5
