env,algo,final_mean_return,steps_to_50pct,steps_to_80pct,steps_to_90pct
HalfCheetah-v4,reinforce,397.20758056640625,590000,700000,720000
HalfCheetah-v4,trpo,681.6560668945312,780000,900000,930000
HalfCheetah-v4,ppo,2912.0791015625,300000,610000,760000
HalfCheetah-v4,td3,9793.818359375,120000,370000,590000
Hopper-v4,reinforce,339.3160095214844,40000,350000,520000
Hopper-v4,trpo,1132.3193359375,240000,440000,450000
Hopper-v4,ppo,3099.724853515625,180000,440000,480000
Hopper-v4,td3,2808.1455078125,480000,740000,860000
Pendulum-v1,reinforce,-1070.5540771484375,5000,5000,5000
Pendulum-v1,trpo,-217.4521026611328,470000,415000,405000
Pendulum-v1,ppo,-130.1378936767578,230000,200000,195000
Pendulum-v1,td3,-147.71206665039062,55000,55000,55000
