/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed0_Hopper-v4_10-05-2026_21-26-23
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 18.670
---------------------------------------
Total T:      17 | Ep:    1 | Steps:   17 | Reward:     9.52
Total T:      37 | Ep:    2 | Steps:   20 | Reward:    14.18
Total T:      71 | Ep:    3 | Steps:   34 | Reward:    13.01
Total T:      81 | Ep:    4 | Steps:   10 | Reward:     5.50
Total T:     119 | Ep:    5 | Steps:   38 | Reward:    49.27
Total T:     142 | Ep:    6 | Steps:   23 | Reward:    20.11
Total T:     156 | Ep:    7 | Steps:   14 | Reward:    10.73
Total T:     167 | Ep:    8 | Steps:   11 | Reward:     8.90
Total T:     186 | Ep:    9 | Steps:   19 | Reward:    18.09
Total T:     227 | Ep:   10 | Steps:   41 | Reward:    16.54
Total T:     241 | Ep:   11 | Steps:   14 | Reward:     9.84
Total T:     278 | Ep:   12 | Steps:   37 | Reward:    39.56
Total T:     289 | Ep:   13 | Steps:   11 | Reward:     7.17
Total T:     298 | Ep:   14 | Steps:    9 | Reward:     6.44
Total T:     309 | Ep:   15 | Steps:   11 | Reward:     8.17
Total T:     327 | Ep:   16 | Steps:   18 | Reward:    18.95
Total T:     350 | Ep:   17 | Steps:   23 | Reward:    22.15
Total T:     367 | Ep:   18 | Steps:   17 | Reward:    11.32
Total T:     400 | Ep:   19 | Steps:   33 | Reward:    15.42
Total T:     421 | Ep:   20 | Steps:   21 | Reward:     7.80
Total T:     439 | Ep:   21 | Steps:   18 | Reward:    13.33
Total T:     449 | Ep:   22 | Steps:   10 | Reward:     7.45
Total T:     473 | Ep:   23 | Steps:   24 | Reward:    13.31
Total T:     486 | Ep:   24 | Steps:   13 | Reward:    10.65
Total T:     523 | Ep:   25 | Steps:   37 | Reward:    41.46
Total T:     554 | Ep:   26 | Steps:   31 | Reward:    37.26
Total T:     568 | Ep:   27 | Steps:   14 | Reward:     9.71
Total T:     581 | Ep:   28 | Steps:   13 | Reward:    11.59
Total T:     591 | Ep:   29 | Steps:   10 | Reward:     8.33
Total T:     612 | Ep:   30 | Steps:   21 | Reward:    11.31
Total T:     637 | Ep:   31 | Steps:   25 | Reward:    13.87
Total T:     652 | Ep:   32 | Steps:   15 | Reward:    13.35
Total T:     669 | Ep:   33 | Steps:   17 | Reward:    11.98
Total T:     686 | Ep:   34 | Steps:   17 | Reward:    14.71
Total T:     715 | Ep:   35 | Steps:   29 | Reward:    27.39
Total T:     759 | Ep:   36 | Steps:   44 | Reward:    57.15
Total T:     776 | Ep:   37 | Steps:   17 | Reward:    13.20
Total T:     798 | Ep:   38 | Steps:   22 | Reward:    12.28
Total T:     810 | Ep:   39 | Steps:   12 | Reward:     9.67
Total T:     847 | Ep:   40 | Steps:   37 | Reward:    39.85
Total T:     861 | Ep:   41 | Steps:   14 | Reward:     9.33
Total T:     872 | Ep:   42 | Steps:   11 | Reward:     9.59
Total T:     918 | Ep:   43 | Steps:   46 | Reward:    23.07
Total T:     932 | Ep:   44 | Steps:   14 | Reward:     8.57
Total T:     958 | Ep:   45 | Steps:   26 | Reward:    29.94
Total T:     986 | Ep:   46 | Steps:   28 | Reward:    19.79
Total T:    1005 | Ep:   47 | Steps:   19 | Reward:    17.92
Total T:    1025 | Ep:   48 | Steps:   20 | Reward:    10.88
Total T:    1049 | Ep:   49 | Steps:   24 | Reward:    25.31
Total T:    1065 | Ep:   50 | Steps:   16 | Reward:    11.21
Total T:    1078 | Ep:   51 | Steps:   13 | Reward:     8.19
Total T:    1098 | Ep:   52 | Steps:   20 | Reward:    21.84
Total T:    1110 | Ep:   53 | Steps:   12 | Reward:     9.81
Total T:    1127 | Ep:   54 | Steps:   17 | Reward:    12.84
Total T:    1165 | Ep:   55 | Steps:   38 | Reward:    41.21
Total T:    1200 | Ep:   56 | Steps:   35 | Reward:    32.62
Total T:    1222 | Ep:   57 | Steps:   22 | Reward:    20.86
Total T:    1239 | Ep:   58 | Steps:   17 | Reward:    15.17
Total T:    1255 | Ep:   59 | Steps:   16 | Reward:    11.79
Total T:    1280 | Ep:   60 | Steps:   25 | Reward:    19.31
Total T:    1303 | Ep:   61 | Steps:   23 | Reward:    11.40
Total T:    1316 | Ep:   62 | Steps:   13 | Reward:    12.06
Total T:    1330 | Ep:   63 | Steps:   14 | Reward:     8.82
Total T:    1345 | Ep:   64 | Steps:   15 | Reward:    10.62
Total T:    1368 | Ep:   65 | Steps:   23 | Reward:    11.01
Total T:    1391 | Ep:   66 | Steps:   23 | Reward:    15.59
Total T:    1414 | Ep:   67 | Steps:   23 | Reward:    19.98
Total T:    1445 | Ep:   68 | Steps:   31 | Reward:    25.69
Total T:    1468 | Ep:   69 | Steps:   23 | Reward:    19.22
Total T:    1480 | Ep:   70 | Steps:   12 | Reward:    11.08
Total T:    1511 | Ep:   71 | Steps:   31 | Reward:    33.18
Total T:    1527 | Ep:   72 | Steps:   16 | Reward:    15.06
Total T:    1560 | Ep:   73 | Steps:   33 | Reward:    26.84
Total T:    1589 | Ep:   74 | Steps:   29 | Reward:    30.61
