/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed3_Hopper-v4_10-05-2026_21-37-11
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 12.866
---------------------------------------
Total T:      46 | Ep:    1 | Steps:   46 | Reward:    24.19
Total T:      82 | Ep:    2 | Steps:   36 | Reward:    22.88
Total T:      96 | Ep:    3 | Steps:   14 | Reward:     6.55
Total T:     111 | Ep:    4 | Steps:   15 | Reward:    10.01
Total T:     129 | Ep:    5 | Steps:   18 | Reward:    14.36
Total T:     138 | Ep:    6 | Steps:    9 | Reward:     7.01
Total T:     154 | Ep:    7 | Steps:   16 | Reward:    10.03
Total T:     182 | Ep:    8 | Steps:   28 | Reward:    32.13
Total T:     198 | Ep:    9 | Steps:   16 | Reward:     8.91
Total T:     215 | Ep:   10 | Steps:   17 | Reward:    10.16
Total T:     238 | Ep:   11 | Steps:   23 | Reward:    15.08
Total T:     253 | Ep:   12 | Steps:   15 | Reward:     9.40
Total T:     275 | Ep:   13 | Steps:   22 | Reward:    11.27
Total T:     292 | Ep:   14 | Steps:   17 | Reward:    15.61
Total T:     311 | Ep:   15 | Steps:   19 | Reward:     9.84
Total T:     385 | Ep:   16 | Steps:   74 | Reward:    83.67
Total T:     414 | Ep:   17 | Steps:   29 | Reward:    19.12
Total T:     432 | Ep:   18 | Steps:   18 | Reward:    14.48
Total T:     458 | Ep:   19 | Steps:   26 | Reward:     6.98
Total T:     474 | Ep:   20 | Steps:   16 | Reward:    11.32
Total T:     488 | Ep:   21 | Steps:   14 | Reward:    10.13
Total T:     503 | Ep:   22 | Steps:   15 | Reward:    13.66
Total T:     518 | Ep:   23 | Steps:   15 | Reward:    14.00
Total T:     527 | Ep:   24 | Steps:    9 | Reward:     5.38
Total T:     541 | Ep:   25 | Steps:   14 | Reward:    11.71
Total T:     555 | Ep:   26 | Steps:   14 | Reward:    10.19
Total T:     568 | Ep:   27 | Steps:   13 | Reward:     9.87
Total T:     585 | Ep:   28 | Steps:   17 | Reward:     9.23
Total T:     631 | Ep:   29 | Steps:   46 | Reward:    36.49
Total T:     658 | Ep:   30 | Steps:   27 | Reward:    20.52
Total T:     675 | Ep:   31 | Steps:   17 | Reward:    10.03
Total T:     692 | Ep:   32 | Steps:   17 | Reward:     8.07
Total T:     703 | Ep:   33 | Steps:   11 | Reward:     9.30
Total T:     719 | Ep:   34 | Steps:   16 | Reward:    16.25
Total T:     733 | Ep:   35 | Steps:   14 | Reward:    10.07
Total T:     789 | Ep:   36 | Steps:   56 | Reward:    52.18
Total T:     818 | Ep:   37 | Steps:   29 | Reward:    30.37
