C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Pendulum-v1
  ob_dim    = 3
  ac_dim    = 1
  max_action= 2.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_pendulum-v1_seed4_Pendulum-v1_10-05-2026_20-35-32
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -1157.768
---------------------------------------
Total T:     200 | Ep:    1 | Steps:  200 | Reward:  -756.36
Total T:     400 | Ep:    2 | Steps:  200 | Reward: -1071.25
Total T:     600 | Ep:    3 | Steps:  200 | Reward: -1375.04
Total T:     800 | Ep:    4 | Steps:  200 | Reward: -1531.42
Total T:    1000 | Ep:    5 | Steps:  200 | Reward: -1828.27
Total T:    1200 | Ep:    6 | Steps:  200 | Reward:  -995.67
Total T:    1400 | Ep:    7 | Steps:  200 | Reward: -1179.45
Total T:    1600 | Ep:    8 | Steps:  200 | Reward: -1579.59
Total T:    1800 | Ep:    9 | Steps:  200 | Reward:  -884.03
Total T:    2000 | Ep:   10 | Steps:  200 | Reward:  -750.99
Total T:    2200 | Ep:   11 | Steps:  200 | Reward: -1455.64
Total T:    2400 | Ep:   12 | Steps:  200 | Reward:  -895.27
Total T:    2600 | Ep:   13 | Steps:  200 | Reward:  -919.25
Total T:    2800 | Ep:   14 | Steps:  200 | Reward: -1195.36
Total T:    3000 | Ep:   15 | Steps:  200 | Reward: -1776.34
Total T:    3200 | Ep:   16 | Steps:  200 | Reward: -1323.75
Total T:    3400 | Ep:   17 | Steps:  200 | Reward: -1260.12
Total T:    3600 | Ep:   18 | Steps:  200 | Reward: -1697.89
Total T:    3800 | Ep:   19 | Steps:  200 | Reward: -1075.37
Total T:    4000 | Ep:   20 | Steps:  200 | Reward: -1790.85
Total T:    4200 | Ep:   21 | Steps:  200 | Reward: -1173.30
Total T:    4400 | Ep:   22 | Steps:  200 | Reward:  -996.16
Total T:    4600 | Ep:   23 | Steps:  200 | Reward: -1675.87
Total T:    4800 | Ep:   24 | Steps:  200 | Reward: -1691.04
Total T:    5000 | Ep:   25 | Steps:  200 | Reward: -1392.78
---------------------------------------
Evaluation over 10 episodes: -1158.975
---------------------------------------
Total T:    5200 | Ep:   26 | Steps:  200 | Reward: -1377.66
Total T:    5400 | Ep:   27 | Steps:  200 | Reward: -1304.64
Total T:    5600 | Ep:   28 | Steps:  200 | Reward: -1641.50
Total T:    5800 | Ep:   29 | Steps:  200 | Reward: -1178.14
Total T:    6000 | Ep:   30 | Steps:  200 | Reward: -1411.52
Total T:    6200 | Ep:   31 | Steps:  200 | Reward: -1787.35
Total T:    6400 | Ep:   32 | Steps:  200 | Reward: -1006.16
Total T:    6600 | Ep:   33 | Steps:  200 | Reward:  -955.13
Total T:    6800 | Ep:   34 | Steps:  200 | Reward: -1563.99
Total T:    7000 | Ep:   35 | Steps:  200 | Reward:  -748.69
Total T:    7200 | Ep:   36 | Steps:  200 | Reward: -1250.82
Total T:    7400 | Ep:   37 | Steps:  200 | Reward:  -784.79
Total T:    7600 | Ep:   38 | Steps:  200 | Reward: -1069.80
Total T:    7800 | Ep:   39 | Steps:  200 | Reward: -1131.42
Total T:    8000 | Ep:   40 | Steps:  200 | Reward: -1163.67
Total T:    8200 | Ep:   41 | Steps:  200 | Reward:  -990.82
Total T:    8400 | Ep:   42 | Steps:  200 | Reward: -1616.26
Total T:    8600 | Ep:   43 | Steps:  200 | Reward: -1517.31
Total T:    8800 | Ep:   44 | Steps:  200 | Reward:  -755.94
Total T:    9000 | Ep:   45 | Steps:  200 | Reward:  -763.62
Total T:    9200 | Ep:   46 | Steps:  200 | Reward: -1296.10
Total T:    9400 | Ep:   47 | Steps:  200 | Reward: -1387.94
Total T:    9600 | Ep:   48 | Steps:  200 | Reward: -1070.40
Total T:    9800 | Ep:   49 | Steps:  200 | Reward: -1254.70
Total T:   10000 | Ep:   50 | Steps:  200 | Reward: -1477.98
---------------------------------------
Evaluation over 10 episodes: -1282.403
---------------------------------------
Total T:   10200 | Ep:   51 | Steps:  200 | Reward:  -954.88
Total T:   10400 | Ep:   52 | Steps:  200 | Reward: -1552.95
Total T:   10600 | Ep:   53 | Steps:  200 | Reward:  -976.14
Total T:   10800 | Ep:   54 | Steps:  200 | Reward: -1289.22
Total T:   11000 | Ep:   55 | Steps:  200 | Reward: -1304.68
Total T:   11200 | Ep:   56 | Steps:  200 | Reward: -1082.83
Total T:   11400 | Ep:   57 | Steps:  200 | Reward: -1168.09
Total T:   11600 | Ep:   58 | Steps:  200 | Reward: -1468.86
Total T:   11800 | Ep:   59 | Steps:  200 | Reward:  -771.16
Total T:   12000 | Ep:   60 | Steps:  200 | Reward:  -975.43
Total T:   12200 | Ep:   61 | Steps:  200 | Reward: -1286.15
Total T:   12400 | Ep:   62 | Steps:  200 | Reward: -1285.88
Total T:   12600 | Ep:   63 | Steps:  200 | Reward: -1050.19
Total T:   12800 | Ep:   64 | Steps:  200 | Reward: -1251.77
Total T:   13000 | Ep:   65 | Steps:  200 | Reward: -1615.24
Total T:   13200 | Ep:   66 | Steps:  200 | Reward: -1194.71
Total T:   13400 | Ep:   67 | Steps:  200 | Reward: -1277.53
Total T:   13600 | Ep:   68 | Steps:  200 | Reward:  -877.72
Total T:   13800 | Ep:   69 | Steps:  200 | Reward: -1476.28
Total T:   14000 | Ep:   70 | Steps:  200 | Reward: -1732.06
Total T:   14200 | Ep:   71 | Steps:  200 | Reward: -1837.09
Total T:   14400 | Ep:   72 | Steps:  200 | Reward: -1176.17
