C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed0_Walker2d-v4_11-05-2026_13-56-27
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 8.791
---------------------------------------
Total T:      24 | Ep:    1 | Steps:   24 | Reward:     6.98
Total T:      38 | Ep:    2 | Steps:   14 | Reward:    -2.69
Total T:      61 | Ep:    3 | Steps:   23 | Reward:     7.95
Total T:      78 | Ep:    4 | Steps:   17 | Reward:    -0.12
Total T:      93 | Ep:    5 | Steps:   15 | Reward:    -0.15
Total T:     107 | Ep:    6 | Steps:   14 | Reward:     0.24
Total T:     128 | Ep:    7 | Steps:   21 | Reward:     1.30
Total T:     146 | Ep:    8 | Steps:   18 | Reward:    -1.11
Total T:     174 | Ep:    9 | Steps:   28 | Reward:     6.81
Total T:     203 | Ep:   10 | Steps:   29 | Reward:    12.88
Total T:     223 | Ep:   11 | Steps:   20 | Reward:     5.04
Total T:     247 | Ep:   12 | Steps:   24 | Reward:    -1.44
Total T:     264 | Ep:   13 | Steps:   17 | Reward:     3.87
Total T:     288 | Ep:   14 | Steps:   24 | Reward:     7.33
Total T:     304 | Ep:   15 | Steps:   16 | Reward:     5.73
Total T:     331 | Ep:   16 | Steps:   27 | Reward:     5.78
Total T:     360 | Ep:   17 | Steps:   29 | Reward:     3.42
Total T:     373 | Ep:   18 | Steps:   13 | Reward:    -0.99
Total T:     398 | Ep:   19 | Steps:   25 | Reward:     1.58
Total T:     416 | Ep:   20 | Steps:   18 | Reward:     4.02
Total T:     428 | Ep:   21 | Steps:   12 | Reward:    -1.78
Total T:     467 | Ep:   22 | Steps:   39 | Reward:    11.52
Total T:     493 | Ep:   23 | Steps:   26 | Reward:     5.25
Total T:     523 | Ep:   24 | Steps:   30 | Reward:    10.92
Total T:     545 | Ep:   25 | Steps:   22 | Reward:    -3.25
Total T:     558 | Ep:   26 | Steps:   13 | Reward:    -2.77
Total T:     582 | Ep:   27 | Steps:   24 | Reward:     8.60
Total T:     595 | Ep:   28 | Steps:   13 | Reward:    -3.18
Total T:     616 | Ep:   29 | Steps:   21 | Reward:     7.88
Total T:     641 | Ep:   30 | Steps:   25 | Reward:    -1.15
Total T:     666 | Ep:   31 | Steps:   25 | Reward:    -0.11
Total T:     696 | Ep:   32 | Steps:   30 | Reward:     6.49
Total T:     721 | Ep:   33 | Steps:   25 | Reward:    -0.58
Total T:     734 | Ep:   34 | Steps:   13 | Reward:     0.50
Total T:     746 | Ep:   35 | Steps:   12 | Reward:    -2.09
Total T:     775 | Ep:   36 | Steps:   29 | Reward:     6.54
Total T:     787 | Ep:   37 | Steps:   12 | Reward:     3.86
Total T:     797 | Ep:   38 | Steps:   10 | Reward:    -1.27
Total T:     815 | Ep:   39 | Steps:   18 | Reward:     3.87
Total T:     843 | Ep:   40 | Steps:   28 | Reward:    -0.30
Total T:     856 | Ep:   41 | Steps:   13 | Reward:    -1.35
Total T:     884 | Ep:   42 | Steps:   28 | Reward:     0.39
Total T:     902 | Ep:   43 | Steps:   18 | Reward:     4.51
Total T:     925 | Ep:   44 | Steps:   23 | Reward:    10.41
Total T:     953 | Ep:   45 | Steps:   28 | Reward:     4.14
Total T:     974 | Ep:   46 | Steps:   21 | Reward:     3.09
Total T:     995 | Ep:   47 | Steps:   21 | Reward:     9.64
Total T:    1009 | Ep:   48 | Steps:   14 | Reward:     1.36
Total T:    1028 | Ep:   49 | Steps:   19 | Reward:    -1.13
Total T:    1038 | Ep:   50 | Steps:   10 | Reward:    -3.88
Total T:    1060 | Ep:   51 | Steps:   22 | Reward:     5.46
Total T:    1087 | Ep:   52 | Steps:   27 | Reward:    14.92
Total T:    1104 | Ep:   53 | Steps:   17 | Reward:    -3.10
Total T:    1116 | Ep:   54 | Steps:   12 | Reward:    -0.75
Total T:    1135 | Ep:   55 | Steps:   19 | Reward:    -2.78
Total T:    1144 | Ep:   56 | Steps:    9 | Reward:    -2.15
Total T:    1165 | Ep:   57 | Steps:   21 | Reward:    -5.98
Total T:    1177 | Ep:   58 | Steps:   12 | Reward:    -1.49
Total T:    1198 | Ep:   59 | Steps:   21 | Reward:    -1.27
Total T:    1218 | Ep:   60 | Steps:   20 | Reward:     3.78
Total T:    1250 | Ep:   61 | Steps:   32 | Reward:     8.88
Total T:    1264 | Ep:   62 | Steps:   14 | Reward:     3.25
Total T:    1282 | Ep:   63 | Steps:   18 | Reward:     3.94
Total T:    1291 | Ep:   64 | Steps:    9 | Reward:    -4.85
Total T:    1308 | Ep:   65 | Steps:   17 | Reward:     5.40
Total T:    1319 | Ep:   66 | Steps:   11 | Reward:    -2.69
Total T:    1335 | Ep:   67 | Steps:   16 | Reward:     2.65
Total T:    1367 | Ep:   68 | Steps:   32 | Reward:    -5.52
Total T:    1384 | Ep:   69 | Steps:   17 | Reward:     3.91
Total T:    1420 | Ep:   70 | Steps:   36 | Reward:    21.78
Total T:    1447 | Ep:   71 | Steps:   27 | Reward:    -3.25
Total T:    1473 | Ep:   72 | Steps:   26 | Reward:     8.47
Total T:    1513 | Ep:   73 | Steps:   40 | Reward:    11.96
Total T:    1534 | Ep:   74 | Steps:   21 | Reward:    -0.63
Total T:    1555 | Ep:   75 | Steps:   21 | Reward:   -10.04
Total T:    1580 | Ep:   76 | Steps:   25 | Reward:     7.22
Total T:    1596 | Ep:   77 | Steps:   16 | Reward:     0.38
Total T:    1618 | Ep:   78 | Steps:   22 | Reward:     3.25
Total T:    1642 | Ep:   79 | Steps:   24 | Reward:    -7.44
Total T:    1661 | Ep:   80 | Steps:   19 | Reward:    -4.73
Total T:    1694 | Ep:   81 | Steps:   33 | Reward:    -8.46
Total T:    1718 | Ep:   82 | Steps:   24 | Reward:     8.42
Total T:    1747 | Ep:   83 | Steps:   29 | Reward:     5.47
Total T:    1774 | Ep:   84 | Steps:   27 | Reward:     9.91
Total T:    1792 | Ep:   85 | Steps:   18 | Reward:    -0.99
Total T:    1834 | Ep:   86 | Steps:   42 | Reward:    18.82
Total T:    1852 | Ep:   87 | Steps:   18 | Reward:     2.80
Total T:    1867 | Ep:   88 | Steps:   15 | Reward:    -1.62
Total T:    1887 | Ep:   89 | Steps:   20 | Reward:     5.38
Total T:    1911 | Ep:   90 | Steps:   24 | Reward:     9.25
Total T:    1940 | Ep:   91 | Steps:   29 | Reward:     7.68
Total T:    1977 | Ep:   92 | Steps:   37 | Reward:     5.64
Total T:    2006 | Ep:   93 | Steps:   29 | Reward:     7.54
Total T:    2036 | Ep:   94 | Steps:   30 | Reward:     3.27
Total T:    2053 | Ep:   95 | Steps:   17 | Reward:     1.60
Total T:    2076 | Ep:   96 | Steps:   23 | Reward:    -1.54
Total T:    2094 | Ep:   97 | Steps:   18 | Reward:     0.31
Total T:    2117 | Ep:   98 | Steps:   23 | Reward:     2.46
Total T:    2131 | Ep:   99 | Steps:   14 | Reward:     4.49
Total T:    2160 | Ep:  100 | Steps:   29 | Reward:     9.65
Total T:    2185 | Ep:  101 | Steps:   25 | Reward:     7.97
Total T:    2205 | Ep:  102 | Steps:   20 | Reward:     8.81
Total T:    2223 | Ep:  103 | Steps:   18 | Reward:     2.91
Total T:    2261 | Ep:  104 | Steps:   38 | Reward:    22.36
Total T:    2284 | Ep:  105 | Steps:   23 | Reward:    -1.07
Total T:    2298 | Ep:  106 | Steps:   14 | Reward:     0.52
Total T:    2309 | Ep:  107 | Steps:   11 | Reward:    -1.81
Total T:    2337 | Ep:  108 | Steps:   28 | Reward:    12.31
Total T:    2363 | Ep:  109 | Steps:   26 | Reward:    -1.90
Total T:    2378 | Ep:  110 | Steps:   15 | Reward:     0.62
Total T:    2397 | Ep:  111 | Steps:   19 | Reward:     6.14
Total T:    2408 | Ep:  112 | Steps:   11 | Reward:    -2.44
Total T:    2426 | Ep:  113 | Steps:   18 | Reward:     5.97
Total T:    2438 | Ep:  114 | Steps:   12 | Reward:     2.76
Total T:    2465 | Ep:  115 | Steps:   27 | Reward:     4.47
Total T:    2476 | Ep:  116 | Steps:   11 | Reward:    -1.98
Total T:    2489 | Ep:  117 | Steps:   13 | Reward:    -0.85
Total T:    2505 | Ep:  118 | Steps:   16 | Reward:    -2.31
Total T:    2521 | Ep:  119 | Steps:   16 | Reward:    -6.27
Total T:    2548 | Ep:  120 | Steps:   27 | Reward:     0.42
Total T:    2575 | Ep:  121 | Steps:   27 | Reward:     8.98
Total T:    2596 | Ep:  122 | Steps:   21 | Reward:    13.59
Total T:    2611 | Ep:  123 | Steps:   15 | Reward:    -3.48
Total T:    2627 | Ep:  124 | Steps:   16 | Reward:     6.14
Total T:    2637 | Ep:  125 | Steps:   10 | Reward:    -0.36
Total T:    2666 | Ep:  126 | Steps:   29 | Reward:     8.88
Total T:    2682 | Ep:  127 | Steps:   16 | Reward:     7.15
Total T:    2694 | Ep:  128 | Steps:   12 | Reward:    -0.19
Total T:    2719 | Ep:  129 | Steps:   25 | Reward:     4.65
Total T:    2731 | Ep:  130 | Steps:   12 | Reward:     1.03
Total T:    2791 | Ep:  131 | Steps:   60 | Reward:    11.36
Total T:    2800 | Ep:  132 | Steps:    9 | Reward:    -2.23
Total T:    2814 | Ep:  133 | Steps:   14 | Reward:    -4.91
Total T:    2825 | Ep:  134 | Steps:   11 | Reward:    -2.24
Total T:    2841 | Ep:  135 | Steps:   16 | Reward:     4.00
Total T:    2863 | Ep:  136 | Steps:   22 | Reward:    -1.91
Total T:    2879 | Ep:  137 | Steps:   16 | Reward:     4.30
Total T:    2902 | Ep:  138 | Steps:   23 | Reward:     0.67
Total T:    2921 | Ep:  139 | Steps:   19 | Reward:     1.81
Total T:    2941 | Ep:  140 | Steps:   20 | Reward:    -5.58
Total T:    2971 | Ep:  141 | Steps:   30 | Reward:     4.46
Total T:    2997 | Ep:  142 | Steps:   26 | Reward:     2.42
Total T:    3025 | Ep:  143 | Steps:   28 | Reward:     6.59
Total T:    3048 | Ep:  144 | Steps:   23 | Reward:     0.75
Total T:    3058 | Ep:  145 | Steps:   10 | Reward:    -2.66
Total T:    3076 | Ep:  146 | Steps:   18 | Reward:     7.43
Total T:    3105 | Ep:  147 | Steps:   29 | Reward:     9.51
Total T:    3122 | Ep:  148 | Steps:   17 | Reward:     4.00
Total T:    3145 | Ep:  149 | Steps:   23 | Reward:    -0.84
Total T:    3170 | Ep:  150 | Steps:   25 | Reward:     7.49
Total T:    3195 | Ep:  151 | Steps:   25 | Reward:    -4.15
Total T:    3209 | Ep:  152 | Steps:   14 | Reward:     1.43
Total T:    3227 | Ep:  153 | Steps:   18 | Reward:     4.43
Total T:    3240 | Ep:  154 | Steps:   13 | Reward:    -1.95
Total T:    3250 | Ep:  155 | Steps:   10 | Reward:    -1.33
Total T:    3282 | Ep:  156 | Steps:   32 | Reward:    -2.10
Total T:    3300 | Ep:  157 | Steps:   18 | Reward:     2.52
Total T:    3316 | Ep:  158 | Steps:   16 | Reward:     1.94
Total T:    3334 | Ep:  159 | Steps:   18 | Reward:    -6.49
Total T:    3352 | Ep:  160 | Steps:   18 | Reward:    -6.26
Total T:    3365 | Ep:  161 | Steps:   13 | Reward:    -1.21
Total T:    3383 | Ep:  162 | Steps:   18 | Reward:     4.67
Total T:    3399 | Ep:  163 | Steps:   16 | Reward:    -1.61
Total T:    3430 | Ep:  164 | Steps:   31 | Reward:    -0.49
Total T:    3459 | Ep:  165 | Steps:   29 | Reward:    -1.65
Total T:    3479 | Ep:  166 | Steps:   20 | Reward:    -8.91
Total T:    3495 | Ep:  167 | Steps:   16 | Reward:     4.95
Total T:    3516 | Ep:  168 | Steps:   21 | Reward:     0.66
Total T:    3531 | Ep:  169 | Steps:   15 | Reward:    -0.09
Total T:    3547 | Ep:  170 | Steps:   16 | Reward:     3.76
Total T:    3566 | Ep:  171 | Steps:   19 | Reward:     2.65
Total T:    3590 | Ep:  172 | Steps:   24 | Reward:    10.86
Total T:    3616 | Ep:  173 | Steps:   26 | Reward:     4.51
Total T:    3628 | Ep:  174 | Steps:   12 | Reward:    -1.14
Total T:    3642 | Ep:  175 | Steps:   14 | Reward:     0.34
Total T:    3661 | Ep:  176 | Steps:   19 | Reward:     4.90
Total T:    3685 | Ep:  177 | Steps:   24 | Reward:    -0.29
Total T:    3695 | Ep:  178 | Steps:   10 | Reward:    -1.49
Total T:    3716 | Ep:  179 | Steps:   21 | Reward:     3.17
Total T:    3731 | Ep:  180 | Steps:   15 | Reward:    -2.74
Total T:    3767 | Ep:  181 | Steps:   36 | Reward:    10.52
Total T:    3788 | Ep:  182 | Steps:   21 | Reward:     8.23
Total T:    3809 | Ep:  183 | Steps:   21 | Reward:     6.79
Total T:    3831 | Ep:  184 | Steps:   22 | Reward:     4.45
Total T:    3847 | Ep:  185 | Steps:   16 | Reward:     0.83
Total T:    3857 | Ep:  186 | Steps:   10 | Reward:    -2.18
Total T:    3878 | Ep:  187 | Steps:   21 | Reward:    -1.60
Total T:    3901 | Ep:  188 | Steps:   23 | Reward:    -3.24
Total T:    3923 | Ep:  189 | Steps:   22 | Reward:     3.37
Total T:    3957 | Ep:  190 | Steps:   34 | Reward:     8.04
Total T:    3980 | Ep:  191 | Steps:   23 | Reward:     6.23
Total T:    3991 | Ep:  192 | Steps:   11 | Reward:    -0.54
Total T:    4004 | Ep:  193 | Steps:   13 | Reward:    -1.72
Total T:    4018 | Ep:  194 | Steps:   14 | Reward:     4.83
Total T:    4031 | Ep:  195 | Steps:   13 | Reward:     2.64
Total T:    4047 | Ep:  196 | Steps:   16 | Reward:     4.25
Total T:    4067 | Ep:  197 | Steps:   20 | Reward:    -4.13
Total T:    4088 | Ep:  198 | Steps:   21 | Reward:    -1.80
Total T:    4104 | Ep:  199 | Steps:   16 | Reward:    -5.09
Total T:    4134 | Ep:  200 | Steps:   30 | Reward:     7.94
Total T:    4158 | Ep:  201 | Steps:   24 | Reward:    12.10
Total T:    4173 | Ep:  202 | Steps:   15 | Reward:    -2.15
Total T:    4183 | Ep:  203 | Steps:   10 | Reward:     0.80
Total T:    4193 | Ep:  204 | Steps:   10 | Reward:    -0.61
Total T:    4219 | Ep:  205 | Steps:   26 | Reward:    -3.65
Total T:    4235 | Ep:  206 | Steps:   16 | Reward:     1.41
Total T:    4272 | Ep:  207 | Steps:   37 | Reward:     0.27
Total T:    4288 | Ep:  208 | Steps:   16 | Reward:     5.28
Total T:    4305 | Ep:  209 | Steps:   17 | Reward:     2.39
Total T:    4333 | Ep:  210 | Steps:   28 | Reward:    12.49
Total T:    4348 | Ep:  211 | Steps:   15 | Reward:    -3.03
Total T:    4375 | Ep:  212 | Steps:   27 | Reward:    -1.40
Total T:    4406 | Ep:  213 | Steps:   31 | Reward:     8.89
Total T:    4426 | Ep:  214 | Steps:   20 | Reward:     1.87
Total T:    4448 | Ep:  215 | Steps:   22 | Reward:     0.81
Total T:    4474 | Ep:  216 | Steps:   26 | Reward:    -1.57
Total T:    4490 | Ep:  217 | Steps:   16 | Reward:     3.57
Total T:    4503 | Ep:  218 | Steps:   13 | Reward:    -3.83
Total T:    4522 | Ep:  219 | Steps:   19 | Reward:     5.32
Total T:    4535 | Ep:  220 | Steps:   13 | Reward:    -2.45
Total T:    4553 | Ep:  221 | Steps:   18 | Reward:     3.11
Total T:    4576 | Ep:  222 | Steps:   23 | Reward:    -4.34
Total T:    4598 | Ep:  223 | Steps:   22 | Reward:     9.88
Total T:    4609 | Ep:  224 | Steps:   11 | Reward:    -1.34
Total T:    4625 | Ep:  225 | Steps:   16 | Reward:     5.38
Total T:    4642 | Ep:  226 | Steps:   17 | Reward:     1.55
Total T:    4670 | Ep:  227 | Steps:   28 | Reward:     1.81
Total T:    4704 | Ep:  228 | Steps:   34 | Reward:     7.79
Total T:    4727 | Ep:  229 | Steps:   23 | Reward:    -0.16
Total T:    4748 | Ep:  230 | Steps:   21 | Reward:    -6.17
Total T:    4763 | Ep:  231 | Steps:   15 | Reward:    -2.92
Total T:    4795 | Ep:  232 | Steps:   32 | Reward:    13.52
Total T:    4807 | Ep:  233 | Steps:   12 | Reward:    -2.95
Total T:    4820 | Ep:  234 | Steps:   13 | Reward:    -5.71
Total T:    4838 | Ep:  235 | Steps:   18 | Reward:     5.91
Total T:    4852 | Ep:  236 | Steps:   14 | Reward:     1.99
Total T:    4868 | Ep:  237 | Steps:   16 | Reward:     2.03
Total T:    4886 | Ep:  238 | Steps:   18 | Reward:    -5.50
Total T:    4909 | Ep:  239 | Steps:   23 | Reward:    -2.46
