C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed1_Walker2d-v4_11-05-2026_14-02-46
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 3.984
---------------------------------------
Total T:      14 | Ep:    1 | Steps:   14 | Reward:    -2.06
Total T:      36 | Ep:    2 | Steps:   22 | Reward:    -0.57
Total T:      54 | Ep:    3 | Steps:   18 | Reward:    -0.64
Total T:      65 | Ep:    4 | Steps:   11 | Reward:     1.78
Total T:      85 | Ep:    5 | Steps:   20 | Reward:    -5.72
Total T:     117 | Ep:    6 | Steps:   32 | Reward:     7.23
Total T:     133 | Ep:    7 | Steps:   16 | Reward:    -0.00
Total T:     147 | Ep:    8 | Steps:   14 | Reward:     0.93
Total T:     170 | Ep:    9 | Steps:   23 | Reward:    -4.70
Total T:     193 | Ep:   10 | Steps:   23 | Reward:     2.36
Total T:     205 | Ep:   11 | Steps:   12 | Reward:     0.61
Total T:     223 | Ep:   12 | Steps:   18 | Reward:     1.04
Total T:     246 | Ep:   13 | Steps:   23 | Reward:     2.67
Total T:     263 | Ep:   14 | Steps:   17 | Reward:    -2.34
Total T:     275 | Ep:   15 | Steps:   12 | Reward:    -7.27
Total T:     296 | Ep:   16 | Steps:   21 | Reward:    -0.28
Total T:     314 | Ep:   17 | Steps:   18 | Reward:    -9.76
Total T:     347 | Ep:   18 | Steps:   33 | Reward:     1.54
Total T:     367 | Ep:   19 | Steps:   20 | Reward:    10.77
Total T:     419 | Ep:   20 | Steps:   52 | Reward:    22.90
Total T:     432 | Ep:   21 | Steps:   13 | Reward:     1.97
Total T:     452 | Ep:   22 | Steps:   20 | Reward:     1.61
Total T:     472 | Ep:   23 | Steps:   20 | Reward:     9.98
