C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed2_Walker2d-v4_11-05-2026_14-02-59
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -5.197
---------------------------------------
Total T:      27 | Ep:    1 | Steps:   27 | Reward:    -7.42
Total T:      46 | Ep:    2 | Steps:   19 | Reward:     0.07
Total T:      65 | Ep:    3 | Steps:   19 | Reward:    -0.80
Total T:      96 | Ep:    4 | Steps:   31 | Reward:    18.47
Total T:     111 | Ep:    5 | Steps:   15 | Reward:     0.71
Total T:     125 | Ep:    6 | Steps:   14 | Reward:    -3.47
Total T:     148 | Ep:    7 | Steps:   23 | Reward:    -7.95
Total T:     159 | Ep:    8 | Steps:   11 | Reward:     0.35
Total T:     211 | Ep:    9 | Steps:   52 | Reward:    41.82
Total T:     231 | Ep:   10 | Steps:   20 | Reward:     6.49
Total T:     248 | Ep:   11 | Steps:   17 | Reward:     4.44
Total T:     272 | Ep:   12 | Steps:   24 | Reward:    -5.07
Total T:     282 | Ep:   13 | Steps:   10 | Reward:    -3.53
Total T:     308 | Ep:   14 | Steps:   26 | Reward:     1.71
Total T:     332 | Ep:   15 | Steps:   24 | Reward:    -2.54
Total T:     353 | Ep:   16 | Steps:   21 | Reward:    -6.82
Total T:     373 | Ep:   17 | Steps:   20 | Reward:    -3.83
Total T:     389 | Ep:   18 | Steps:   16 | Reward:     3.86
Total T:     402 | Ep:   19 | Steps:   13 | Reward:     1.89
Total T:     439 | Ep:   20 | Steps:   37 | Reward:    14.00
Total T:     460 | Ep:   21 | Steps:   21 | Reward:    -2.72
Total T:     475 | Ep:   22 | Steps:   15 | Reward:    -3.67
Total T:     516 | Ep:   23 | Steps:   41 | Reward:     5.24
Total T:     530 | Ep:   24 | Steps:   14 | Reward:     4.07
Total T:     541 | Ep:   25 | Steps:   11 | Reward:    -3.93
Total T:     571 | Ep:   26 | Steps:   30 | Reward:    14.20
Total T:     592 | Ep:   27 | Steps:   21 | Reward:    -4.86
Total T:     614 | Ep:   28 | Steps:   22 | Reward:     5.25
Total T:     633 | Ep:   29 | Steps:   19 | Reward:    -0.31
Total T:     660 | Ep:   30 | Steps:   27 | Reward:    10.74
Total T:     680 | Ep:   31 | Steps:   20 | Reward:     6.53
Total T:     700 | Ep:   32 | Steps:   20 | Reward:     5.19
Total T:     709 | Ep:   33 | Steps:    9 | Reward:    -2.48
Total T:     721 | Ep:   34 | Steps:   12 | Reward:    -0.57
Total T:     747 | Ep:   35 | Steps:   26 | Reward:    12.70
Total T:     763 | Ep:   36 | Steps:   16 | Reward:     1.28
Total T:     799 | Ep:   37 | Steps:   36 | Reward:     0.47
Total T:     827 | Ep:   38 | Steps:   28 | Reward:    12.60
Total T:     838 | Ep:   39 | Steps:   11 | Reward:     0.79
Total T:     864 | Ep:   40 | Steps:   26 | Reward:     5.69
Total T:     880 | Ep:   41 | Steps:   16 | Reward:     3.85
