C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed3_Walker2d-v4_11-05-2026_14-06-42
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -4.165
---------------------------------------
Total T:      12 | Ep:    1 | Steps:   12 | Reward:     1.14
Total T:      37 | Ep:    2 | Steps:   25 | Reward:     3.64
Total T:      48 | Ep:    3 | Steps:   11 | Reward:    -3.24
Total T:      63 | Ep:    4 | Steps:   15 | Reward:    -8.71
Total T:      73 | Ep:    5 | Steps:   10 | Reward:    -2.30
Total T:      84 | Ep:    6 | Steps:   11 | Reward:     1.29
Total T:     112 | Ep:    7 | Steps:   28 | Reward:    -0.13
Total T:     132 | Ep:    8 | Steps:   20 | Reward:     8.54
Total T:     162 | Ep:    9 | Steps:   30 | Reward:     8.34
Total T:     183 | Ep:   10 | Steps:   21 | Reward:     4.69
Total T:     203 | Ep:   11 | Steps:   20 | Reward:     1.74
Total T:     216 | Ep:   12 | Steps:   13 | Reward:     2.49
Total T:     234 | Ep:   13 | Steps:   18 | Reward:     2.17
Total T:     260 | Ep:   14 | Steps:   26 | Reward:     0.11
Total T:     288 | Ep:   15 | Steps:   28 | Reward:     1.34
Total T:     304 | Ep:   16 | Steps:   16 | Reward:     5.36
Total T:     319 | Ep:   17 | Steps:   15 | Reward:     0.83
Total T:     339 | Ep:   18 | Steps:   20 | Reward:     2.34
Total T:     401 | Ep:   19 | Steps:   62 | Reward:    38.45
Total T:     411 | Ep:   20 | Steps:   10 | Reward:    -4.81
Total T:     425 | Ep:   21 | Steps:   14 | Reward:    -1.57
Total T:     438 | Ep:   22 | Steps:   13 | Reward:    -3.39
Total T:     454 | Ep:   23 | Steps:   16 | Reward:     1.69
Total T:     473 | Ep:   24 | Steps:   19 | Reward:    -1.96
Total T:     492 | Ep:   25 | Steps:   19 | Reward:     6.91
Total T:     504 | Ep:   26 | Steps:   12 | Reward:    -0.33
Total T:     521 | Ep:   27 | Steps:   17 | Reward:    -3.40
Total T:     531 | Ep:   28 | Steps:   10 | Reward:     0.43
Total T:     561 | Ep:   29 | Steps:   30 | Reward:    -1.50
Total T:     580 | Ep:   30 | Steps:   19 | Reward:     6.39
Total T:     602 | Ep:   31 | Steps:   22 | Reward:    -3.51
Total T:     612 | Ep:   32 | Steps:   10 | Reward:    -1.30
Total T:     640 | Ep:   33 | Steps:   28 | Reward:     0.58
Total T:     673 | Ep:   34 | Steps:   33 | Reward:     3.01
Total T:     698 | Ep:   35 | Steps:   25 | Reward:     6.44
Total T:     719 | Ep:   36 | Steps:   21 | Reward:     2.46
Total T:     741 | Ep:   37 | Steps:   22 | Reward:    -1.43
Total T:     757 | Ep:   38 | Steps:   16 | Reward:     2.08
Total T:     777 | Ep:   39 | Steps:   20 | Reward:    -1.02
Total T:     794 | Ep:   40 | Steps:   17 | Reward:     1.34
Total T:     821 | Ep:   41 | Steps:   27 | Reward:     3.42
Total T:     834 | Ep:   42 | Steps:   13 | Reward:    -0.02
Total T:     859 | Ep:   43 | Steps:   25 | Reward:     1.85
Total T:     877 | Ep:   44 | Steps:   18 | Reward:    -3.58
Total T:     908 | Ep:   45 | Steps:   31 | Reward:     6.58
Total T:     925 | Ep:   46 | Steps:   17 | Reward:    -4.24
Total T:     945 | Ep:   47 | Steps:   20 | Reward:    -0.47
Total T:     968 | Ep:   48 | Steps:   23 | Reward:     0.28
Total T:     995 | Ep:   49 | Steps:   27 | Reward:     8.13
Total T:    1010 | Ep:   50 | Steps:   15 | Reward:     2.20
Total T:    1040 | Ep:   51 | Steps:   30 | Reward:     5.03
Total T:    1053 | Ep:   52 | Steps:   13 | Reward:    -2.32
Total T:    1074 | Ep:   53 | Steps:   21 | Reward:    -7.26
Total T:    1095 | Ep:   54 | Steps:   21 | Reward:    -6.79
Total T:    1106 | Ep:   55 | Steps:   11 | Reward:     0.58
Total T:    1119 | Ep:   56 | Steps:   13 | Reward:    -0.40
Total T:    1132 | Ep:   57 | Steps:   13 | Reward:    -1.90
Total T:    1144 | Ep:   58 | Steps:   12 | Reward:    -0.42
Total T:    1168 | Ep:   59 | Steps:   24 | Reward:    -7.39
Total T:    1191 | Ep:   60 | Steps:   23 | Reward:     9.17
Total T:    1216 | Ep:   61 | Steps:   25 | Reward:     5.34
Total T:    1238 | Ep:   62 | Steps:   22 | Reward:     2.73
Total T:    1267 | Ep:   63 | Steps:   29 | Reward:     8.55
Total T:    1282 | Ep:   64 | Steps:   15 | Reward:     4.06
Total T:    1294 | Ep:   65 | Steps:   12 | Reward:     0.80
Total T:    1317 | Ep:   66 | Steps:   23 | Reward:     2.49
Total T:    1353 | Ep:   67 | Steps:   36 | Reward:    15.64
Total T:    1367 | Ep:   68 | Steps:   14 | Reward:     3.52
Total T:    1386 | Ep:   69 | Steps:   19 | Reward:    -3.28
Total T:    1426 | Ep:   70 | Steps:   40 | Reward:    31.14
Total T:    1449 | Ep:   71 | Steps:   23 | Reward:    -5.67
Total T:    1475 | Ep:   72 | Steps:   26 | Reward:     8.01
Total T:    1487 | Ep:   73 | Steps:   12 | Reward:    -0.37
Total T:    1507 | Ep:   74 | Steps:   20 | Reward:    -5.20
Total T:    1525 | Ep:   75 | Steps:   18 | Reward:     0.57
Total T:    1539 | Ep:   76 | Steps:   14 | Reward:    -0.42
Total T:    1561 | Ep:   77 | Steps:   22 | Reward:     4.91
Total T:    1579 | Ep:   78 | Steps:   18 | Reward:    -0.15
Total T:    1602 | Ep:   79 | Steps:   23 | Reward:     7.40
Total T:    1626 | Ep:   80 | Steps:   24 | Reward:    -3.31
Total T:    1643 | Ep:   81 | Steps:   17 | Reward:     3.30
Total T:    1654 | Ep:   82 | Steps:   11 | Reward:    -2.64
Total T:    1676 | Ep:   83 | Steps:   22 | Reward:     0.11
Total T:    1689 | Ep:   84 | Steps:   13 | Reward:     0.71
Total T:    1711 | Ep:   85 | Steps:   22 | Reward:    -5.86
Total T:    1729 | Ep:   86 | Steps:   18 | Reward:     6.14
Total T:    1748 | Ep:   87 | Steps:   19 | Reward:     4.95
Total T:    1784 | Ep:   88 | Steps:   36 | Reward:    13.47
Total T:    1799 | Ep:   89 | Steps:   15 | Reward:     4.31
Total T:    1850 | Ep:   90 | Steps:   51 | Reward:     9.13
Total T:    1874 | Ep:   91 | Steps:   24 | Reward:     5.79
Total T:    1896 | Ep:   92 | Steps:   22 | Reward:    -2.59
Total T:    1909 | Ep:   93 | Steps:   13 | Reward:    -1.28
Total T:    1928 | Ep:   94 | Steps:   19 | Reward:     0.37
Total T:    1949 | Ep:   95 | Steps:   21 | Reward:     8.23
Total T:    1966 | Ep:   96 | Steps:   17 | Reward:    -1.57
Total T:    1995 | Ep:   97 | Steps:   29 | Reward:    -2.17
Total T:    2018 | Ep:   98 | Steps:   23 | Reward:     2.20
Total T:    2041 | Ep:   99 | Steps:   23 | Reward:    -2.89
Total T:    2061 | Ep:  100 | Steps:   20 | Reward:     7.36
Total T:    2080 | Ep:  101 | Steps:   19 | Reward:     2.55
Total T:    2095 | Ep:  102 | Steps:   15 | Reward:     0.49
Total T:    2112 | Ep:  103 | Steps:   17 | Reward:     3.29
Total T:    2138 | Ep:  104 | Steps:   26 | Reward:    -4.33
Total T:    2169 | Ep:  105 | Steps:   31 | Reward:     7.66
Total T:    2210 | Ep:  106 | Steps:   41 | Reward:    22.70
Total T:    2244 | Ep:  107 | Steps:   34 | Reward:     2.45
Total T:    2261 | Ep:  108 | Steps:   17 | Reward:    -3.17
Total T:    2291 | Ep:  109 | Steps:   30 | Reward:     7.92
Total T:    2342 | Ep:  110 | Steps:   51 | Reward:    34.40
Total T:    2353 | Ep:  111 | Steps:   11 | Reward:     0.05
Total T:    2378 | Ep:  112 | Steps:   25 | Reward:    10.54
Total T:    2405 | Ep:  113 | Steps:   27 | Reward:    -5.23
Total T:    2425 | Ep:  114 | Steps:   20 | Reward:     0.26
Total T:    2445 | Ep:  115 | Steps:   20 | Reward:     4.24
Total T:    2462 | Ep:  116 | Steps:   17 | Reward:     1.13
Total T:    2484 | Ep:  117 | Steps:   22 | Reward:    10.97
Total T:    2518 | Ep:  118 | Steps:   34 | Reward:     5.67
Total T:    2536 | Ep:  119 | Steps:   18 | Reward:     2.14
Total T:    2571 | Ep:  120 | Steps:   35 | Reward:     7.30
Total T:    2612 | Ep:  121 | Steps:   41 | Reward:    17.87
Total T:    2637 | Ep:  122 | Steps:   25 | Reward:    -3.36
Total T:    2654 | Ep:  123 | Steps:   17 | Reward:    -2.78
Total T:    2676 | Ep:  124 | Steps:   22 | Reward:    -0.98
Total T:    2700 | Ep:  125 | Steps:   24 | Reward:     8.79
Total T:    2723 | Ep:  126 | Steps:   23 | Reward:     2.22
Total T:    2745 | Ep:  127 | Steps:   22 | Reward:    -0.28
Total T:    2767 | Ep:  128 | Steps:   22 | Reward:     1.19
Total T:    2791 | Ep:  129 | Steps:   24 | Reward:    -3.14
Total T:    2815 | Ep:  130 | Steps:   24 | Reward:    -6.43
Total T:    2829 | Ep:  131 | Steps:   14 | Reward:     0.98
Total T:    2855 | Ep:  132 | Steps:   26 | Reward:     8.69
Total T:    2867 | Ep:  133 | Steps:   12 | Reward:    -1.62
Total T:    2889 | Ep:  134 | Steps:   22 | Reward:    -1.96
Total T:    2917 | Ep:  135 | Steps:   28 | Reward:     3.79
Total T:    2928 | Ep:  136 | Steps:   11 | Reward:     0.39
