episode,score
1,16.0000
2,25.0000
3,21.0000
4,17.0000
5,17.0000
6,18.0000
7,25.0000
8,24.0000
9,26.0000
10,36.0000
11,18.0000
12,23.0000
13,18.0000
14,10.0000
15,15.0000
16,17.0000
17,16.0000
18,33.0000
19,12.0000
20,19.0000
21,38.0000
22,39.0000
23,10.0000
24,10.0000
25,24.0000
26,23.0000
27,17.0000
28,40.0000
29,40.0000
30,20.0000
31,32.0000
32,9.0000
33,18.0000
34,21.0000
35,13.0000
36,16.0000
37,61.0000
38,14.0000
39,50.0000
40,25.0000
41,16.0000
42,33.0000
43,23.0000
44,32.0000
45,28.0000
46,19.0000
47,30.0000
48,23.0000
49,26.0000
50,47.0000
51,78.0000
52,49.0000
53,13.0000
54,36.0000
55,26.0000
56,64.0000
57,118.0000
58,65.0000
59,19.0000
60,73.0000
61,30.0000
62,29.0000
63,14.0000
64,75.0000
65,16.0000
66,16.0000
67,28.0000
68,61.0000
69,67.0000
70,63.0000
71,23.0000
72,35.0000
73,24.0000
74,82.0000
75,22.0000
76,33.0000
77,94.0000
78,22.0000
79,96.0000
80,17.0000
81,19.0000
82,35.0000
83,27.0000
84,20.0000
85,50.0000
86,93.0000
87,39.0000
88,84.0000
89,20.0000
90,25.0000
91,78.0000
92,47.0000
93,36.0000
94,9.0000
95,19.0000
96,17.0000
97,35.0000
98,63.0000
99,93.0000
100,20.0000
101,82.0000
102,79.0000
103,169.0000
104,46.0000
105,73.0000
106,84.0000
107,39.0000
108,28.0000
109,78.0000
110,117.0000
111,33.0000
112,70.0000
113,66.0000
114,17.0000
115,41.0000
116,159.0000
117,54.0000
118,36.0000
119,238.0000
120,84.0000
121,39.0000
122,202.0000
123,72.0000
124,12.0000
125,30.0000
126,89.0000
127,53.0000
128,15.0000
129,179.0000
130,17.0000
131,150.0000
132,56.0000
133,129.0000
134,182.0000
135,43.0000
136,123.0000
137,82.0000
138,11.0000
139,17.0000
140,33.0000
141,94.0000
142,104.0000
143,31.0000
144,63.0000
145,43.0000
146,36.0000
147,48.0000
148,76.0000
149,37.0000
150,34.0000
151,131.0000
152,25.0000
153,212.0000
154,46.0000
155,32.0000
156,43.0000
157,54.0000
158,99.0000
159,194.0000
160,64.0000
161,97.0000
162,186.0000
163,71.0000
164,85.0000
165,42.0000
166,17.0000
167,28.0000
168,217.0000
169,98.0000
170,62.0000
171,226.0000
172,119.0000
173,19.0000
174,43.0000
175,27.0000
176,129.0000
177,51.0000
178,134.0000
179,116.0000
180,165.0000
181,65.0000
182,131.0000
183,120.0000
184,123.0000
185,12.0000
186,112.0000
187,19.0000
188,43.0000
189,115.0000
190,37.0000
191,100.0000
192,127.0000
193,30.0000
194,139.0000
195,129.0000
196,118.0000
197,14.0000
198,11.0000
199,132.0000
200,24.0000
201,117.0000
202,14.0000
203,133.0000
204,59.0000
205,11.0000
206,120.0000
207,26.0000
208,125.0000
209,12.0000
210,167.0000
211,24.0000
212,24.0000
213,143.0000
214,24.0000
215,23.0000
216,133.0000
217,13.0000
218,25.0000
219,39.0000
220,22.0000
221,17.0000
222,126.0000
223,124.0000
224,136.0000
225,232.0000
226,35.0000
227,35.0000
228,27.0000
229,143.0000
230,136.0000
231,14.0000
232,122.0000
233,35.0000
234,41.0000
235,139.0000
236,153.0000
237,129.0000
238,30.0000
239,132.0000
240,130.0000
241,110.0000
242,120.0000
243,116.0000
244,118.0000
245,14.0000
246,84.0000
247,117.0000
248,120.0000
249,127.0000
250,116.0000
251,112.0000
252,118.0000
253,17.0000
254,113.0000
255,23.0000
256,121.0000
257,117.0000
258,124.0000
259,18.0000
260,124.0000
261,16.0000
262,125.0000
263,126.0000
264,11.0000
265,121.0000
266,127.0000
267,28.0000
268,123.0000
269,138.0000
270,126.0000
271,130.0000
272,119.0000
273,102.0000
274,121.0000
275,125.0000
276,128.0000
277,120.0000
278,137.0000
279,100.0000
280,134.0000
281,128.0000
282,121.0000
283,121.0000
284,130.0000
285,130.0000
286,138.0000
287,134.0000
288,120.0000
289,124.0000
290,17.0000
291,135.0000
292,115.0000
293,124.0000
294,21.0000
295,110.0000
296,129.0000
297,133.0000
298,147.0000
299,129.0000
300,134.0000
