episode,episode_length,total_env_steps,total_reward
1,37,37,12.0236
2,102,139,-41.8306
3,38,177,-21.8083
4,15,192,-21.3089
5,102,294,14.3653
6,16,310,3.7265
7,13,323,2.0459
8,1000,1323,-364.5728
9,47,1370,-15.1924
10,59,1429,-19.6677
11,21,1450,-10.5486
12,24,1474,19.4610
13,89,1563,-22.7098
14,295,1858,-95.5467
15,160,2018,-61.9210
16,131,2149,-35.7354
17,192,2341,-22.4657
18,257,2598,-112.3192
19,92,2690,-33.7757
20,36,2726,1.2293
21,84,2810,-10.6077
22,51,2861,14.5503
23,33,2894,-24.9745
24,47,2941,-14.4334
25,30,2971,-44.1884
26,51,3022,-23.5815
27,53,3075,-13.8076
28,272,3347,-128.4523
29,18,3365,1.6097
30,71,3436,-40.2689
31,29,3465,-17.0808
32,28,3493,-15.1091
33,82,3575,-24.2511
34,148,3723,-99.8562
35,28,3751,8.2526
36,29,3780,-0.5755
37,1000,4780,-321.7193
38,109,4889,4.0877
39,172,5061,0.3756
40,51,5112,-6.9118
41,18,5130,-15.5095
42,102,5232,-50.8906
43,165,5397,-9.4829
44,384,5781,-57.4514
45,1000,6781,-342.9725
46,1000,7781,-380.5575
47,111,7892,-56.5064
48,20,7912,-4.3259
49,82,7994,-13.5343
50,41,8035,11.7143
51,67,8102,-10.6542
52,42,8144,-22.3441
53,127,8271,-61.0796
54,160,8431,-39.0850
55,120,8551,-75.6027
56,52,8603,-14.5886
57,165,8768,-0.6824
58,189,8957,-90.5439
59,61,9018,3.2230
60,20,9038,-4.5961
61,64,9102,-5.4679
62,71,9173,-27.7068
63,273,9446,-96.3588
64,48,9494,15.2145
65,79,9573,-19.7860
66,175,9748,-69.4598
67,70,9818,-17.7566
68,34,9852,-11.9034
69,107,9959,-35.8104
70,25,9984,-12.5808
71,151,10135,9.9752
72,74,10209,-18.8111
73,91,10300,-28.9220
74,17,10317,-11.2759
75,46,10363,-19.1317
76,1000,11363,-348.4098
77,171,11534,0.8611
78,15,11549,-19.2000
79,33,11582,-18.7075
80,133,11715,-32.5225
81,37,11752,-22.0049
82,117,11869,-52.5307
83,17,11886,-5.8211
84,86,11972,-4.5922
85,44,12016,-19.0342
86,38,12054,-32.8409
87,118,12172,-72.7353
88,1000,13172,-325.8881
89,84,13256,13.4199
90,28,13284,-2.1737
91,121,13405,34.3508
92,64,13469,-19.9149
93,13,13482,-1.2922
94,104,13586,9.6485
95,128,13714,-19.5382
96,35,13749,-15.5884
97,52,13801,5.6717
98,23,13824,7.6516
99,128,13952,-64.9725
100,79,14031,-40.7405
101,26,14057,16.1589
102,105,14162,-46.5496
103,18,14180,-3.9049
104,43,14223,-39.9348
105,112,14335,-72.3133
106,141,14476,-46.3228
107,62,14538,-49.6213
108,128,14666,13.5888
109,1000,15666,-338.2149
110,128,15794,-20.1145
111,31,15825,-22.8001
112,70,15895,-4.7533
113,27,15922,-18.1394
114,1000,16922,-326.1556
115,80,17002,-19.7293
116,54,17056,-77.9437
117,108,17164,-68.4290
118,35,17199,20.7460
119,15,17214,-5.4935
120,42,17256,-21.0023
121,115,17371,-23.4036
122,69,17440,-41.2491
123,68,17508,-48.7904
124,98,17606,13.8207
125,1000,18606,-293.9860
126,1000,19606,-316.4178
127,47,19653,-18.9117
128,64,19717,-58.3919
129,44,19761,-24.8003
130,1000,20761,-361.1323
131,56,20817,-2.4387
132,45,20862,-28.3812
133,27,20889,-2.3927
134,74,20963,-3.9839
135,49,21012,-14.8033
136,55,21067,-33.3091
137,41,21108,-36.5299
138,206,21314,-88.2562
139,13,21327,4.2533
140,65,21392,-10.4480
141,253,21645,-124.5469
142,49,21694,-20.5169
143,16,21710,-6.1513
144,112,21822,-49.0555
145,100,21922,-48.2848
146,45,21967,-4.3469
147,98,22065,6.6151
148,23,22088,1.3027
149,132,22220,-83.7869
150,42,22262,-23.4829
151,71,22333,5.9227
152,29,22362,2.0042
153,26,22388,-19.6906
154,123,22511,-73.6864
155,123,22634,-17.4935
156,41,22675,-36.5310
157,78,22753,-13.6282
158,86,22839,-21.9825
159,133,22972,-30.5563
160,28,23000,-19.6540
161,170,23170,-34.1715
162,51,23221,-9.8400
163,92,23313,-30.2562
164,45,23358,-19.2989
165,98,23456,-32.8544
166,27,23483,0.0430
167,235,23718,-47.8281
168,69,23787,-40.5184
169,86,23873,-9.5449
170,211,24084,-129.0872
171,67,24151,-14.2012
172,153,24304,-105.8490
173,59,24363,4.1430
174,29,24392,-28.3048
175,55,24447,7.4284
176,28,24475,-7.5408
177,23,24498,-16.1334
178,183,24681,-22.5435
179,20,24701,1.6206
180,14,24715,-3.3119
