episode,episode_length,total_env_steps,total_reward
1,200,200,-882.2046
2,200,400,-1497.7417
3,200,600,-1069.5101
4,200,800,-895.5613
5,200,1000,-999.7523
6,200,1200,-1498.7784
7,200,1400,-1489.7160
8,200,1600,-1302.2000
9,200,1800,-1757.5394
10,200,2000,-1502.2619
11,200,2200,-1404.7688
12,200,2400,-1530.2793
13,200,2600,-1492.2172
14,200,2800,-1524.6749
15,200,3000,-1510.3905
16,200,3200,-1322.0748
17,200,3400,-1269.6761
18,200,3600,-1281.6923
19,200,3800,-1303.4936
20,200,4000,-1187.5163
21,200,4200,-1008.2535
22,200,4400,-1274.2732
23,200,4600,-1170.9155
24,200,4800,-1026.0264
25,200,5000,-923.6226
26,200,5200,-950.7551
27,200,5400,-1489.0866
28,200,5600,-662.3371
29,200,5800,-648.0981
30,200,6000,-659.1605
31,200,6200,-752.2245
32,200,6400,-264.4269
33,200,6600,-270.9770
